,date,open,close,high,low,volume,code
432,2020-12-11,66.18,64.35,66.85,63.68,257950.0,300014
433,2020-12-14,65.0,67.68,67.85,63.6,311065.0,300014
434,2020-12-15,68.0,70.3,70.33,67.55,365777.0,300014
435,2020-12-16,68.98,69.82,70.64,68.21,208347.0,300014
436,2020-12-17,69.05,69.22,70.01,67.28,233268.0,300014
437,2020-12-18,69.25,72.18,72.67,69.02,313074.0,300014
438,2020-12-21,72.8,76.63,76.7,71.6,389763.0,300014
439,2020-12-22,75.0,73.99,78.8,73.25,357425.0,300014
440,2020-12-23,74.5,74.53,77.44,73.7,325786.0,300014
441,2020-12-24,75.01,72.27,75.66,71.8,226409.0,300014
442,2020-12-25,72.85,77.95,78.23,72.27,288814.0,300014
443,2020-12-28,78.01,79.2,80.06,75.7,281751.0,300014
444,2020-12-29,79.5,75.4,80.0,74.3,313676.0,300014
445,2020-12-30,76.6,79.25,81.38,76.6,312612.0,300014
446,2020-12-31,79.5,81.5,83.0,78.77,243530.0,300014
447,2021-01-04,82.5,93.49,96.9,82.5,444946.0,300014
448,2021-01-05,93.0,95.2,96.0,91.19,413872.0,300014
449,2021-01-06,99.5,94.9,99.5,92.3,312947.0,300014
450,2021-01-07,94.74,99.1,100.8,92.88,345578.0,300014
451,2021-01-08,102.0,97.36,102.0,93.01,354054.0,300014
452,2021-01-11,96.89,89.75,96.99,88.05,471296.0,300014
453,2021-01-12,89.11,93.33,94.4,89.1,267126.0,300014
454,2021-01-13,94.01,89.94,96.8,88.08,341636.0,300014
455,2021-01-14,88.8,89.1,90.2,84.2,341118.0,300014
456,2021-01-15,87.01,92.0,94.4,86.46,288695.0,300014
457,2021-01-18,91.2,94.1,95.19,88.18,284838.0,300014
458,2021-01-19,95.0,91.5,97.19,90.5,218461.0,300014
459,2021-01-20,94.5,104.23,105.58,94.1,423641.0,300014
460,2021-01-21,105.0,105.61,106.88,101.16,278665.0,300014
461,2021-01-22,108.0,110.55,112.9,105.7,350895.0,300014
462,2021-01-25,116.0,105.9,120.0,104.9,552163.0,300014
463,2021-01-26,106.03,106.6,111.48,105.3,355574.0,300014
464,2021-01-27,107.0,113.83,114.89,103.37,338677.0,300014
465,2021-01-28,110.77,109.0,111.96,105.8,316237.0,300014
466,2021-01-29,110.2,106.5,112.27,103.3,310380.0,300014
467,2021-02-01,106.21,102.83,106.94,100.04,328536.0,300014
468,2021-02-02,104.48,111.8,112.58,102.9,352061.0,300014
469,2021-02-03,113.0,112.12,114.62,109.69,279160.0,300014
470,2021-02-04,110.4,108.88,113.5,106.33,226405.0,300014
471,2021-02-05,110.05,105.71,113.89,104.0,277008.0,300014
